iter	Passed	Remaining
726	1169	439
727	1170	437
728	1171	435
729	1173	433
730	1174	432
731	1175	430
732	1176	428
733	1177	426
734	1179	425
735	1180	423
736	1181	421
737	1182	419
738	1184	418
739	1185	416
740	1186	414
741	1188	413
742	1189	411
743	1190	409
744	1191	407
745	1192	406
746	1194	404
747	1195	402
748	1196	401
749	1197	399
750	1199	397
751	1200	395
752	1201	394
753	1202	392
754	1203	390
755	1205	388
756	1206	387
757	1207	385
758	1208	383
759	1210	382
760	1211	380
761	1212	378
762	1213	377
763	1215	375
764	1216	373
765	1217	372
766	1219	370
767	1220	368
768	1221	367
769	1223	365
770	1224	363
771	1225	361
772	1226	360
773	1228	358
774	1229	356
775	1230	355
776	1232	353
777	1233	351
778	1234	350
779	1236	348
780	1237	347
781	1239	345
782	1240	343
783	1241	342
784	1243	340
785	1244	338
786	1245	337
787	1246	335
788	1248	333
789	1249	332
790	1250	330
791	1252	328
792	1253	327
793	1254	325
794	1255	323
795	1257	322
796	1258	320
797	1260	318
798	1261	317
799	1262	315
800	1263	313
801	1265	312
802	1266	310
803	1267	309
804	1269	307
805	1270	305
806	1271	304
807	1273	302
808	1274	300
809	1275	299
810	1277	297
811	1278	295
812	1279	294
813	1280	292
814	1282	291
815	1283	289
816	1284	287
817	1286	286
818	1287	284
819	1288	282
820	1290	281
821	1291	279
822	1292	278
823	1294	276
824	1295	274
825	1296	273
826	1298	271
827	1299	269
828	1300	268
829	1302	266
830	1303	265
831	1304	263
832	1305	261
833	1307	260
834	1308	258
835	1309	256
836	1311	255
837	1312	253
838	1313	252
839	1314	250
840	1316	248
841	1317	247
842	1319	245
843	1320	244
844	1321	242
845	1323	240
846	1324	239
847	1326	237
848	1327	236
849	1328	234
850	1330	232
851	1331	231
852	1333	229
853	1334	228
854	1336	226
855	1337	224
856	1338	223
857	1339	221
858	1341	220
859	1342	218
860	1343	216
861	1345	215
862	1346	213
863	1347	212
864	1348	210
865	1350	208
866	1351	207
867	1352	205
868	1353	204
869	1355	202
870	1356	200
871	1357	199
872	1358	197
873	1360	196
874	1361	194
875	1362	192
876	1364	191
877	1365	189
878	1366	188
879	1368	186
880	1369	185
881	1371	183
882	1373	181
883	1374	180
884	1376	178
885	1377	177
886	1378	175
887	1380	174
888	1381	172
889	1383	170
890	1384	169
891	1386	167
892	1387	166
893	1388	164
894	1389	163
895	1391	161
896	1392	159
897	1393	158
898	1395	156
899	1396	155
900	1397	153
901	1399	151
902	1400	150
903	1401	148
904	1402	147
905	1404	145
906	1405	144
907	1406	142
908	1407	140
909	1409	139
910	1410	137
911	1411	136
912	1413	134
913	1414	133
914	1415	131
915	1417	129
916	1418	128
917	1419	126
918	1421	125
919	1422	123
920	1423	122
921	1425	120
922	1426	119
923	1427	117
924	1429	115
925	1430	114
926	1432	112
927	1433	111
928	1435	109
929	1436	108
930	1438	106
931	1439	105
932	1440	103
933	1442	101
934	1443	100
935	1444	98
936	1446	97
937	1447	95
938	1448	94
939	1450	92
940	1451	91
941	1453	89
942	1454	87
943	1456	86
944	1457	84
945	1459	83
946	1460	81
947	1462	80
948	1463	78
949	1465	77
950	1466	75
951	1468	74
952	1469	72
953	1471	70
954	1472	69
955	1473	67
956	1475	66
957	1476	64
958	1478	63
959	1479	61
960	1481	60
961	1482	58
962	1483	57
963	1485	55
964	1486	53
965	1487	52
966	1489	50
967	1490	49
968	1491	47
969	1493	46
970	1494	44
971	1496	43
972	1497	41
973	1499	40
974	1500	38
975	1502	36
976	1503	35
977	1505	33
978	1506	32
979	1508	30
980	1510	29
981	1511	27
982	1513	26
983	1514	24
984	1516	23
985	1517	21
986	1519	20
987	1520	18
988	1522	16
989	1523	15
990	1525	13
991	1527	12
992	1528	10
993	1530	9
994	1531	7
995	1533	6
996	1534	4
997	1536	3
998	1537	1
999	1539	0
